Artist,Title,Condition,Value,Currency,Source
Lana Del Rey,Did You Know That There's A Tunnel Under Ocean Blvd,Near Mint (NM or M-),297.50,USD,suggestion
R.E.M.,Unplugged 1991,,130.00,USD,lowest_listed
Metallica,"Live at Webster Hall, New York, NY - September 27th, 2016",,124.99,USD,lowest_listed
Devo,"Live At Max's Kansas City - November 15, 1977",Near Mint (NM or M-),106.25,USD,suggestion
Marina & The Diamonds,Froot,Near Mint (NM or M-),106.25,USD,suggestion
Devo,Recombo DNA,,96.58,USD,lowest_listed
Slothrust,Of Course You Do,,85.23,USD,lowest_listed
Nirvana,Nevermind,,85.17,USD,lowest_listed
BALTHVS,Harvest,,70.42,USD,lowest_listed
"Diana Krall, The Clayton-Hamilton Jazz Orchestra",Christmas Songs,Mint (M),69.09,USD,suggestion
Megan McDuffee,Inner Demons,Near Mint (NM or M-),65.00,USD,suggestion
Devo,New Traditionalists - Live 1981 Seattle,,64.50,USD,lowest_listed
Talking Heads,Stop Making Sense (Music From A Film By Jonathan Demme And Talking Heads),,62.68,USD,lowest_listed
The White Stripes,Nine Miles From The White City,,60.00,USD,lowest_listed
Jack White (2),Acoustic Tour 2015,,51.00,USD,lowest_listed
Qveen Herby,A Woman,,50.00,USD,lowest_listed
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,,49.99,USD,lowest_listed
Lords Of Acid,Voodoo-U,Near Mint (NM or M-),48.29,USD,suggestion
Beastie Boys,Paul's Boutique,Mint (M),47.50,USD,suggestion
The Clash,London Calling,,38.64,USD,lowest_listed
Tom Tom Club,Tom Tom Club,,38.00,USD,lowest_listed
They Might Be Giants,Flood,,37.00,USD,lowest_listed
Devo,Art Devo 1973-1977,,36.36,USD,lowest_listed
Depeche Mode,101,,36.00,USD,lowest_listed
Philip Glass,Philip Glass Solo,,35.21,USD,lowest_listed
Karina Rykman,Joyride,,35.00,USD,lowest_listed
Vince Guaraldi Trio,A Charlie Brown Christmas ,,35.00,USD,lowest_listed
Waxahatchee,Out In The Storm,,34.99,USD,lowest_listed
Devo,50 Years Of De-Evolution (1973-2023),,34.95,USD,lowest_listed
Duran Duran,Hammersmith '82!,,33.00,USD,lowest_listed
Daft Punk,Random Access Memories,,31.82,USD,lowest_listed
Marina & The Diamonds,Electra Heart,,31.69,USD,lowest_listed
The Doors,Other Voices,,31.69,USD,lowest_listed
R.E.M.,Green,Near Mint (NM or M-),31.59,USD,suggestion
Stark Reality,Discovers Hoagy Carmichael's Music Shop,,31.00,USD,lowest_listed
Wet Leg,Moisturizer,Near Mint (NM or M-),30.90,USD,suggestion
Jack White (2),Live At Third Man Records - Nashville & Cass Corridor,,30.00,USD,lowest_listed
Red Hot Chili Peppers,The Getaway,,29.99,USD,lowest_listed
The Beat (2),Special Beat Service,,29.45,USD,lowest_listed
Awolnation,Here Come The Runts,Mint (M),28.74,USD,suggestion
The Fratellis,Costello Music,,28.41,USD,lowest_listed
The Dead Milkmen,Bucky Fellini,,28.00,USD,lowest_listed
†††,"Goodnight, God Bless, I Love U, Delete.",,28.00,USD,lowest_listed
Kamasi Washington,The Epic,,27.59,USD,lowest_listed
The John Coltrane Quartet,Crescent,,26.99,USD,lowest_listed
Weezer,Weezer,,26.05,USD,lowest_listed
Khruangbin,LateNightTales,,25.96,USD,lowest_listed
The Cramps,Smell Of Female,,25.81,USD,lowest_listed
Parlor Greens,In Green / We Dream,,25.14,USD,lowest_listed
Sting,...Nothing Like The Sun,,25.13,USD,lowest_listed
Jack White (2),No Name,,25.00,USD,lowest_listed
Bad Brains,Bad Brains,,25.00,USD,lowest_listed
R.E.M.,Document,,25.00,USD,lowest_listed
Scarlett Johansson,Anywhere I Lay My Head,,24.99,USD,lowest_listed
Hana Vu,Romanticism,,24.98,USD,lowest_listed
Devo,"Oh, No! It's Devo",,24.00,USD,lowest_listed
The White Stripes,Icky Thump,,24.00,USD,lowest_listed
The Cramps,Big Beat From Badsville,,23.86,USD,lowest_listed
The Cure,Songs Of A Lost World,,22.00,USD,lowest_listed
Metallica,Ride The Lightning,,22.00,USD,lowest_listed
Slothrust,The Pact,,21.29,USD,lowest_listed
"10,000 Maniacs",MTV Unplugged,,21.13,USD,lowest_listed
The Heligoats,Back To The Lake,,20.00,USD,lowest_listed
Miles Davis,A Tribute To Jack Johnson,,20.00,USD,lowest_listed
John Coltrane,"""Live"" At The Village Vanguard",,19.99,USD,lowest_listed
Aztec Camera,"High Land, Hard Rain",,19.00,USD,lowest_listed
Metallica,...And Justice For All,,18.99,USD,lowest_listed
Laurie Anderson,Strange Angels,,18.97,USD,lowest_listed
Pearl Jam,Ten,,18.26,USD,lowest_listed
Jack White (2),Acoustic Recordings 1998-2016,,18.09,USD,lowest_listed
Steep Canyon Rangers,Morning Shift,,18.00,USD,lowest_listed
Devo,Hardcore Volume 1,,18.00,USD,lowest_listed
The Heavy Heavy,One Of A Kind,,17.99,USD,lowest_listed
John Coltrane,A Love Supreme,,17.99,USD,lowest_listed
Slothrust,Show Me How You Want It To Be,,17.95,USD,lowest_listed
Jon Muq,Flying Away,Near Mint (NM or M-),17.94,USD,suggestion
Neutral Milk Hotel,In The Aeroplane Over The Sea,,17.61,USD,lowest_listed
R.E.M.,Dead Letter Office,,17.00,USD,lowest_listed
The Beach Boys,Pet Sounds,,17.00,USD,lowest_listed
The Heligoats,The End Of All-Purpose,,16.92,USD,lowest_listed
The White Stripes,De Stijl,Very Good Plus (VG+),16.89,USD,suggestion
Talking Heads,True Stories,Very Good (VG),16.20,USD,suggestion
Metallica,Kill 'Em All,,16.00,USD,lowest_listed
Nashville Pussy,Say Something Nasty,,15.00,USD,lowest_listed
"Django Reinhardt, Quintette Du Hot Club De France",Djangology,,15.00,USD,lowest_listed
Beck,Colors,,14.98,USD,lowest_listed
The White Stripes,I Want To Be The Boy To Warm Your Mother's Heart / Little Acorns,,14.76,USD,lowest_listed
Luciferian Light Orchestra, Luciferian Light Orchestra,Very Good (VG),14.70,USD,suggestion
Charles Mingus,The Jazz Experiments Of Charles Mingus,,14.32,USD,lowest_listed
New Order,Blue Monday,,14.02,USD,lowest_listed
Devo,New Traditionalists,,14.00,USD,lowest_listed
The Ataris,End Is Forever,,14.00,USD,lowest_listed
Be Your Own Pet,Mommy,,13.16,USD,lowest_listed
Oscar Peterson,Oscar Peterson Plays The Cole Porter Song Book,,13.16,USD,lowest_listed
Ultravox,Vienna,,12.17,USD,lowest_listed
Soccer Mommy,Evergreen,,12.00,USD,lowest_listed
Ariana & The Rose,Constellations Phase 1,,12.00,USD,lowest_listed
Noel Gallagher's High Flying Birds,Magic Secrets 2024 / Magic Secrets #2,,11.00,USD,lowest_listed
Elvis Costello,My Aim Is True,,10.00,USD,lowest_listed
Jack White (2),Entering Heaven Alive,,10.00,USD,lowest_listed
Parlor Greens,Driptorch / 200 Dollar Blues,,9.99,USD,lowest_listed
The B-52's,The B-52's,,9.99,USD,lowest_listed
Genesis,Abacab,,9.99,USD,lowest_listed
Autolux,Live at Third Man Records,,9.95,USD,lowest_listed
"Luke Haines, Peter Buck",All The Kids Are Super Bummed Out,,8.99,USD,lowest_listed
Ghost (32),Seven Inches Of Satanic Panic,,8.75,USD,lowest_listed
Peter Gabriel,Peter Gabriel,,8.00,USD,lowest_listed
Elvis Costello,Hey Clockface,,7.99,USD,lowest_listed
Joe Jackson,Night And Day,,7.70,USD,lowest_listed
Duran Duran,Notorious,,7.59,USD,lowest_listed
The Beatles,Hey Jude (The Beatles Again),,6.98,USD,lowest_listed
Devo,New Traditionalists,,6.50,USD,lowest_listed
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,,6.50,USD,lowest_listed
"Sam Humans, The Heligoats",Live Free / Let Loose,,6.00,USD,lowest_listed
Peter Gabriel,Peter Gabriel,,5.57,USD,lowest_listed
Japan,Obscure Alternatives = 苦悩の旋律,,5.57,USD,lowest_listed
U2,"Live ""Under A Blood Red Sky""",,5.00,USD,lowest_listed
"The Edge, Michael Brook","Captive (Music From The Film ""Captive"")",,5.00,USD,lowest_listed
Scritti Politti,Cupid & Psyche 85,Good Plus (G+),5.00,USD,suggestion
Go-Go's,Beauty And The Beat,,4.99,USD,lowest_listed
Eef Barzelay,Lose Big,,4.99,USD,lowest_listed
The Decemberists,Florasongs,,4.95,USD,lowest_listed
Arthur Buck (2),Arthur Buck,,4.69,USD,lowest_listed
Tom Tom Club,Boom Boom Chi Boom Boom,,4.43,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 3 - Cli To Dor,,4.06,USD,lowest_listed
Les Paul & Mary Ford,Hits Of Les And Mary,,4.00,USD,lowest_listed
Depeche Mode,Speak & Spell,,3.99,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 8- Lew To Mor,,3.99,USD,lowest_listed
Bruce Springsteen,Darkness On The Edge Of Town,,3.95,USD,lowest_listed
Maria McKee,Maria McKee,,3.41,USD,lowest_listed
The Beach Boys,Surfin' Safari,,3.00,USD,lowest_listed
The Icicle Works,Icicle Works,,3.00,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 4 - Eck To Gar,,3.00,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 2 - Bei To Cla,,2.99,USD,lowest_listed
Various,Radio And Store Sampler,,2.99,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 6 - Hin To Joh,,2.37,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 12 Ven-Z,,2.28,USD,lowest_listed
Nina Hagen,Angstlos,,2.26,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 11- Sha To Ven,,2.00,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 10 - Ori To Rus,,2.00,USD,lowest_listed
Planet P Project,Planet P,,1.99,USD,lowest_listed
Chic,C'est Chic,,1.99,USD,lowest_listed
REO Speedwagon,Hi Infidelity,,1.75,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 7- Joh To Lew,,1.50,USD,lowest_listed
"Wynton Marsalis, Edita Gruberova, Raymond Leppard, English Chamber Orchestra, Johann Friedrich Fasch, Georg Friedrich Händel, Giuseppe Torelli, Henry Purcell, Johann Melchior Molter","Wynton Marsalis Plays Handel, Purcell, Torelli, Fasch, Molter",,1.50,USD,lowest_listed
Hamilton Bohannon,Rock Your Body,,1.50,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 1 A-Bec,,1.43,USD,lowest_listed
Various,The RCA Victor Encyclopedia Of Recorded Jazz: Album 9 - Mot To Oli,,1.00,USD,lowest_listed

Total,,,3751.91,USD,
Coverage,148 of 154 valued
